variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision
38_bonn_state_protect,0.935798295196066,93.12222222222222,4.24346404212485,70.83333333333333,15.469948183346332,108.0,1.0,10.0,97.0,control
56_temporal_occlusion_tunneling,0.935798295196066,93.12222222222222,4.240910595461803,70.88888888888889,15.020868017960447,57.0,2.0,9.0,46.0,abandon
57_historical_surface_rear_projection,0.935798295196066,93.12222222222222,4.240845417940178,70.88888888888889,15.020868017960447,58.0,3.0,9.0,46.0,abandon
58_ghost_aware_surface_inpainting,0.935798295196066,93.12222222222222,4.241625515480105,70.86666666666666,14.873325173788391,58.0,2.0,9.0,47.0,abandon
