variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_pose_ate_cm,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,tb_noise_correlation,mean_occupancy_entropy,gap_activation_ratio,ghost_increase_ratio,weak_evidence_coverage_ratio
111_native_geometry_chain_direct,0.935798295196066,93.12222222222222,4.232638465480472,70.85555555555555,14.579900098416498,5.205489190702348,90.0,63.0,20.0,7.0,-0.9999333399992592,nan,nan,-0.9280575539568345,nan
113_naive_plane_union,1.2045543069818077,96.12222222222222,4.412566231237969,76.18888888888888,10.457004876350922,5.20548919070235,3063.0,1885.0,224.0,954.0,-0.7521102416533221,nan,nan,-0.19424460431654678,nan
114_papg_plane_union,1.1782412676151737,96.03333333333333,4.303765355635201,77.05555555555556,13.82439576166452,4.500505156945479,3491.0,2178.0,278.0,1035.0,-0.5362343926119448,nan,nan,0.0,nan
115_papg_consensus_activation,0.9508553090128993,93.21111111111111,4.22470099401049,70.95555555555555,12.368985139168524,5.615658178094573,98.0,59.0,21.0,18.0,-0.15336557484780214,nan,nan,-0.9244604316546763,nan
116_occupancy_entropy_gap_activation,0.935798295196066,93.12222222222222,4.120241407274002,76.14444444444445,16.887573334027003,4.929576807320884,538.0,515.0,23.0,0.0,-1.0,0.6735550939575132,1.0,-0.9172661870503597,0.2635228353346
