variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,kept_rear_points_sum,dropped_rear_points_sum,retained_clusters_sum,tb_noise_correlation,decision,tb_cluster_count,tb_cluster_cluster_fitting_error_mean,tb_cluster_geodesic_smoothness_mean,tb_cluster_balloon_expand_ratio_mean,tb_cluster_cluster_anchor_distance_mean,noise_cluster_count,noise_cluster_cluster_fitting_error_mean,noise_cluster_geodesic_smoothness_mean,noise_cluster_balloon_expand_ratio_mean,noise_cluster_cluster_anchor_distance_mean,ghost_cluster_count,ghost_cluster_cluster_fitting_error_mean,ghost_cluster_geodesic_smoothness_mean,ghost_cluster_balloon_expand_ratio_mean,ghost_cluster_cluster_anchor_distance_mean,bonn_tb_count,bonn_tb_cluster_fitting_error_mean,bonn_tb_geodesic_smoothness_mean,bonn_tb_balloon_expand_ratio_mean,bonn_tb_cluster_anchor_distance_mean,bonn_noise_count,bonn_noise_cluster_fitting_error_mean,bonn_noise_geodesic_smoothness_mean,bonn_noise_balloon_expand_ratio_mean,bonn_noise_cluster_anchor_distance_mean,bonn_ghost_count,bonn_ghost_cluster_fitting_error_mean,bonn_ghost_geodesic_smoothness_mean,bonn_ghost_balloon_expand_ratio_mean,bonn_ghost_cluster_anchor_distance_mean,cluster_fit_margin_tb_vs_noise,cluster_geo_margin_noise_vs_tb
93_spatial_neighborhood_density_clustering,0.935798295196066,93.12222222222222,4.318213891270168,70.2,23.591298291656567,128.0,13.0,19.0,96.0,128.0,0.0,0.0,0.9906836053628413,control,1.0,0.0022567995538659517,0.17819166417192597,0.5925925925925926,0.02914362607732644,5.0,0.0073610365104134975,0.05434593494764495,0.1915151515151515,0.031011221563165416,2.0,0.0,0.013565897450015962,0.5,0.028682382039780165,13.0,0.0020831995881839547,0.16448461308177778,0.547008547008547,0.02690180868676287,96.0,0.0027672424910321534,0.011810581093397145,0.03882575757575757,0.00807835683822026,19.0,0.00441506143077646,0.020329377120265835,0.15080630870104553,0.013826222693534165,-0.005104236956547546,-0.12384572922428103
95_geodesic_balloon_consistency,0.935798295196066,93.12222222222222,4.318213891270143,70.2,23.591298291656567,128.0,13.0,19.0,96.0,128.0,0.0,0.0,0.9906836053628413,abandon,1.0,0.0022567995538659517,0.17819166417192597,0.5925925925925926,0.02914362607732644,5.0,0.0073610365104134975,0.05434593494764495,0.1915151515151515,0.031011221563165416,2.0,0.0,0.013565897450015962,0.5,0.028682382039780165,13.0,0.0020831995881839547,0.16448461308177778,0.547008547008547,0.02690180868676287,96.0,0.0027672424910321534,0.011810581093397145,0.03882575757575757,0.00807835683822026,19.0,0.00441506143077646,0.020329377120265835,0.15080630870104553,0.013826222693534165,-0.005104236956547546,-0.12384572922428103
96_support_cluster_model_fitting,0.935798295196066,93.12222222222222,4.437710425026611,68.35555555555555,31.042196622832336,41.0,12.0,6.0,23.0,41.0,87.0,1.0,-0.7559289460184545,iterate,1.0,0.0022567995538659517,0.17819166417192597,0.5925925925925926,0.02914362607732644,5.0,0.0073610365104134975,0.05434593494764495,0.1915151515151515,0.031011221563165416,2.0,0.0,0.013565897450015962,0.5,0.028682382039780165,12.0,0.0022567995538659512,0.17819166417192592,0.5925925925925926,0.029143626077326443,23.0,5.02747492485498e-11,0.008910510179733752,0.043478260869565216,0.007417779556826687,6.0,0.0003761332589776586,0.03660497464452252,0.43209876543209874,0.018652782473070156,-0.005104236956547546,-0.12384572922428103
97_global_map_anchoring,0.935798295196066,93.12222222222222,4.441238365370315,68.9,34.064337258378195,37.0,10.0,5.0,22.0,37.0,91.0,1.0,-0.7857142857142858,iterate,1.0,0.0022567995538659517,0.17819166417192597,0.5925925925925926,0.02914362607732644,5.0,0.0073610365104134975,0.05434593494764495,0.1915151515151515,0.031011221563165416,2.0,0.0,0.013565897450015962,0.5,0.028682382039780165,10.0,0.0022567995538659512,0.17819166417192595,0.5925925925925926,0.02914362607732644,22.0,5.2559965123483884e-11,0.00931553336972165,0.045454545454545456,0.007754951354864264,5.0,0.0,0.008287636739041825,0.4,0.0165546137522189,-0.005104236956547546,-0.12384572922428103
