variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision
38_bonn_state_protect,0.935798295196066,93.12222222222222,4.243464042124841,70.83333333333333,15.469948183346332,108.0,1.0,10.0,97.0,control
59_relaxed_occlusion_tunneling,0.935798295196066,93.12222222222222,4.24170330921168,70.85555555555555,15.020868017960447,65.0,2.0,9.0,54.0,abandon
60_cone_based_rear_projection,0.935798295196066,93.12222222222222,4.241717445031714,70.87777777777778,15.020868017960447,65.0,2.0,9.0,54.0,abandon
61_hybrid_confidence_gating,0.935798295196066,93.12222222222222,4.241500508831862,70.87777777777778,15.020868017960447,65.0,2.0,9.0,54.0,abandon
