variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision
38_bonn_state_protect,0.935798295196066,93.12222222222222,4.243464042124845,70.83333333333333,15.469948183346332,108.0,1.0,10.0,97.0,control
48_stable_background_memory_state,0.935798295196066,93.12222222222222,4.2406760820114044,70.85555555555555,13.498903299869827,29.0,1.0,3.0,25.0,abandon
49_relaxed_manifold_guided_generation,0.935798295196066,93.12222222222222,4.241295606207058,70.87777777777777,13.498903299869827,39.0,1.0,4.0,34.0,abandon
