variant,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,local_residual_before_cm,local_residual_after_cm,bias_cell_count,bias_vector_norm_mean_cm,bias_vector_norm_p90_cm
126_local_geometry_convergence,4.271844433068141,72.94444444444444,17.912375503540595,511.0,243.0,8.0,260.0,7.128613782315526,5.826877971813259,nan,nan,nan
129_local_registration_bias_modeling,4.279762173206677,72.28888888888889,18.380967915855614,479.0,230.0,4.0,245.0,12.823778418120398,5.910506567385349,76.33333333333333,7.155087518758707,12.078233016910842
