variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision
38_bonn_state_protect,0.935798295196066,93.12222222222222,4.243464042124848,70.83333333333333,15.469948183346332,108.0,1.0,10.0,97.0,control
43_history_guided_background_location,0.935798295196066,93.12222222222222,4.242927950902635,70.77777777777779,14.856508668473072,193.0,5.0,26.0,162.0,abandon
44_history_plus_ghost_suppress,0.935798295196066,93.12222222222222,4.243795904267064,70.75555555555556,15.216287396997892,188.0,4.0,25.0,159.0,abandon
45_visual_evidence_anchor_strict,0.935798295196066,93.12222222222222,4.242927950911495,70.77777777777779,14.856508668473072,193.0,5.0,26.0,162.0,abandon
