variant,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,proxy_recall,proxy_precision
114_papg_plane_union,4.303765355635201,77.05555555555556,13.82439576166452,3491.0,2178.0,278.0,1035.0,nan,nan
116_occupancy_entropy_gap_activation,4.120241407274002,76.14444444444445,16.887573334027003,538.0,515.0,23.0,0.0,nan,nan
117_frustum_unobserved_proxy,4.1355175098876735,71.24444444444444,3.062425570409843,937.0,681.0,152.0,104.0,0.08327125748812496,0.042086547731407305
118_plane_extrapolation_closure,4.19862312430244,72.16666666666666,11.50038325919165,1117.0,792.0,92.0,233.0,0.2607489381903222,0.12845777435152905
119_entropy_guided_proxy,4.1518482402328,71.16666666666667,6.437760498387134,741.0,554.0,107.0,80.0,0.058468067121300385,0.03959699860862652
