variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,tum_ghost_reduction_vs_tsdf,bonn_ghost_reduction_vs_tsdf,hit_2of4_partial,pass_comp,decision
14_bonn_localclip_drive_recheck,0.9355027932461464,68.53333333333333,2.886379453705104,83.56666666666666,-58.65070729053321,-8.0013619339462,2,False,control
15_bonn_localclip_band_relax,0.9355027932461464,68.53333333333333,2.8863794537051826,83.56666666666666,-58.65070729053321,-8.0013619339462,2,False,abandon
16_bonn_localclip_pfv_rearexpand,0.9355027932461464,68.53333333333333,2.8863794537051146,83.56666666666666,-58.65070729053321,-8.0013619339462,2,False,abandon
