variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision,bonn_extract_rear_selected_sum,bonn_extract_score_ready_sum,bonn_extract_support_protected_sum,bonn_extract_fail_score_sum,bonn_rear_selectivity_pre_sum,bonn_rear_selectivity_kept_sum,bonn_rear_selectivity_drop_sum,bonn_rear_selectivity_topk_drop_sum,bonn_rear_selectivity_topology_thickness_sum,bonn_rear_selectivity_normal_consistency_sum,bonn_rear_selectivity_ray_convergence_sum,bonn_rear_selectivity_pre_topology_thickness_sum,bonn_rear_selectivity_pre_normal_consistency_sum,bonn_rear_selectivity_pre_ray_convergence_sum,bonn_thickness_mean,bonn_normal_consistency_mean,bonn_ray_convergence_mean,bonn_pre_thickness_mean,bonn_pre_normal_consistency_mean,bonn_pre_ray_convergence_mean,bonn_drop_thickness_mean,bonn_drop_normal_consistency_mean,bonn_drop_ray_convergence_mean,bonn_noise_ratio,bonn_tb_count,bonn_tb_topology_thickness_mean,bonn_tb_normal_consistency_mean,bonn_tb_ray_convergence_mean,bonn_noise_count,bonn_noise_topology_thickness_mean,bonn_noise_normal_consistency_mean,bonn_noise_ray_convergence_mean,bonn_ghost_count,bonn_ghost_topology_thickness_mean,bonn_ghost_normal_consistency_mean,bonn_ghost_ray_convergence_mean
80_ray_penetration_consistency,0.935798295196066,93.12222222222222,4.392432783948092,68.82222222222222,26.842467560879406,248.0,4.0,30.0,214.0,control,442.0,442.0,589.0,154.0,442.0,248.0,62.0,132.0,28.065000000000026,183.80062879471683,39.94705994510532,65.40000000000008,337.4906198919672,75.25563756343956,0.11316532258064527,0.7411315677206324,0.16107685461736018,0.14796380090497754,0.763553438669609,0.17026162344669585,0.1924484536082477,0.7922164489548987,0.18200297741409402,0.8629032258064516,4.0,0.1837500000000001,0.6882068545233654,0.17944482741960277,214.0,0.11705607476635523,0.7259645655779239,0.16672657516714265,30.0,0.07600000000000004,0.8563794780982545,0.11832645165527958
83_minimum_thickness_topology_filter,0.935798295196066,93.12222222222222,4.315596902637359,70.36666666666667,22.48848247759489,126.0,4.0,16.0,106.0,abandon,442.0,442.0,589.0,154.0,442.0,126.0,302.0,14.0,48.360000000000035,104.07430259925825,32.023805875527856,65.40000000000008,337.49061989196724,75.25563756343954,0.3838095238095241,0.8259865285655417,0.25415718948831634,0.14796380090497754,0.7635534386696091,0.1702616234466958,0.05392405063291152,0.7386592319389524,0.1368095939490876,0.8412698412698413,4.0,0.3712500000000002,0.9646776952390795,0.17944482741960277,106.0,0.3844811320754721,0.8076752834505303,0.25304436877792463,16.0,0.3825000000000002,0.9126257357841066,0.28020771721183974
84_front_back_normal_consistency,0.935798295196066,93.12222222222222,4.312545262763389,70.25555555555556,21.86228720663638,127.0,4.0,18.0,105.0,abandon,442.0,442.0,589.0,154.0,442.0,127.0,307.0,8.0,48.67500000000004,117.84631814675024,33.789504512805976,65.40000000000008,384.7226777224386,75.25563756343956,0.3832677165354334,0.9279237649350413,0.26605909065201555,0.14796380090497754,0.870413298014567,0.17026162344669585,0.05309523809523821,0.8472265383355188,0.13163851762105902,0.8267716535433071,4.0,0.3712500000000002,0.943778495657031,0.17944482741960274,105.0,0.3840000000000003,0.9314325097360465,0.26817623688519854,18.0,0.38166666666666693,0.9039328134354021,0.27295668501009573
85_occlusion_ray_convergence_constraint,0.935798295196066,93.12222222222222,4.321006114956464,68.82222222222222,22.298974855736223,125.0,4.0,22.0,99.0,abandon,442.0,442.0,589.0,154.0,442.0,125.0,317.0,0.0,47.82000000000004,117.52221527107508,91.13611441849307,65.40000000000008,337.4906198919673,225.59333675028356,0.38256000000000034,0.9401777221686006,0.7290889153479445,0.14796380090497754,0.7635534386696092,0.5103921645934018,0.05545741324921146,0.6939066391826253,0.42415527549460724,0.792,4.0,0.3712500000000002,0.9646776952390795,0.43283082595901345,99.0,0.38333333333333364,0.9431240369077487,0.7440263222826787,22.0,0.38113636363636394,0.922464765284164,0.7157356913032648
