variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision,bonn_extract_rear_selected_sum,bonn_extract_score_ready_sum,bonn_extract_support_protected_sum,bonn_extract_fail_score_sum,bonn_rear_selectivity_pre_sum,bonn_rear_selectivity_kept_sum,bonn_rear_selectivity_drop_sum,bonn_rear_selectivity_topk_drop_sum,bonn_rear_selectivity_score_sum,bonn_rear_selectivity_risk_sum,bonn_rear_selectivity_front_score_sum,bonn_rear_selectivity_rear_score_sum,bonn_rear_selectivity_gap_sum,bonn_rear_selectivity_competition_sum,bonn_front_score_mean,bonn_rear_score_mean,bonn_rear_gap_mean,bonn_competition_mean
67_topk_selective_generation,0.935798295196066,93.12222222222222,4.308598088829429,70.36666666666666,22.42797461585178,231.0,3.0,41.0,187.0,control,442.0,442.0,589.0,154.0,442.0,231.0,0.0,211.0,179.43118355746964,4.341945218635266,40.22871552228676,96.82226016612069,56.59354464383391,64.63928774829127,0.17415028364626303,0.41914398340311987,0.24499369975685675,0.27982375648610935
68_rear_front_score_competition,0.935798295196066,93.12222222222222,4.314803706891422,70.33333333333333,23.522836908822594,204.0,2.0,32.0,170.0,abandon,442.0,442.0,589.0,154.0,442.0,204.0,61.0,177.0,170.9146266420062,19.797816658543745,35.45144774014014,84.51518954999781,49.06374180985765,50.83631419686467,0.1737816065693144,0.4142901448529305,0.24050853828361596,0.24919761861208173
69_depth_gap_validation,0.935798295196066,93.12222222222222,4.45215513920095,67.39999999999999,35.210872912498495,0.0,0.0,0.0,0.0,abandon,442.0,442.0,589.0,154.0,442.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_fused_discriminator_topk,0.935798295196066,93.12222222222222,4.452155139200909,67.39999999999999,35.210872912498495,0.0,0.0,0.0,0.0,abandon,442.0,442.0,589.0,154.0,442.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
