variant,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_pose_ate_cm,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,proxy_recall,proxy_precision,mean_visibility_deficit_score,ghost_increase_ratio
118_plane_extrapolation_closure,4.19862312430244,72.16666666666666,11.50038325919165,nan,1117.0,792.0,92.0,233.0,0.2607489381903222,0.12845777435152905,nan,0.0
120_joint_proxy_geometric_fusion,4.183813840157979,71.12222222222222,4.259874621476878,nan,939.0,667.0,167.0,105.0,0.04252281557784404,0.04202371458085006,nan,0.8152173913043478
121_joint_proxy_score_weighted,4.2085555858674635,71.61111111111111,13.798881287124605,nan,431.0,312.0,41.0,78.0,0.13195079592595121,0.24138655462184874,nan,-0.5543478260869565
122_evidential_visibility_deficit,4.391103560425,74.1,20.889609279620192,5.748198670508711,844.0,372.0,3.0,469.0,0.5190414111266919,0.30880457885288803,0.07645410166687613,-0.967391304347826
123_ray_deficit_accumulation,4.3980786776752385,74.05555555555556,20.705194267157676,5.119108946611581,858.0,320.0,9.0,529.0,0.4686434216109468,0.28236789348987557,0.11703928964743521,-0.9021739130434783
116_occupancy_entropy_gap_activation,4.120241407274002,76.14444444444445,16.887573334027003,4.929576807320884,538.0,515.0,23.0,0.0,nan,nan,nan,-0.75
