variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision
38_bonn_state_protect,0.935798295196066,93.12222222222222,4.243464042124883,70.83333333333333,15.469948183346332,108.0,1.0,10.0,97.0,control
50_dense_background_propagation,0.935798295196066,93.12222222222222,4.242090256686657,70.85555555555555,13.75256408621826,67.0,1.0,7.0,59.0,abandon
51_geometry_guided_manifold_completion,0.935798295196066,93.12222222222222,4.242785250978506,70.84444444444443,14.407428503087202,88.0,2.0,12.0,74.0,abandon
52_dual_scale_manifold_fusion,0.935798295196066,93.12222222222222,4.242904042024413,70.82222222222222,14.708965824301018,112.0,1.0,13.0,98.0,abandon
