variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision,bonn_extract_rear_selected_sum,bonn_extract_score_ready_sum,bonn_extract_support_protected_sum,bonn_extract_fail_score_sum,bonn_rear_selectivity_pre_sum,bonn_rear_selectivity_kept_sum,bonn_rear_selectivity_drop_sum,bonn_rear_selectivity_topk_drop_sum,bonn_rear_selectivity_history_anchor_sum,bonn_rear_selectivity_surface_anchor_sum,bonn_rear_selectivity_surface_distance_sum,bonn_rear_selectivity_dynamic_shell_sum,bonn_rear_selectivity_pre_history_anchor_sum,bonn_rear_selectivity_pre_surface_anchor_sum,bonn_rear_selectivity_pre_surface_distance_sum,bonn_rear_selectivity_pre_dynamic_shell_sum,bonn_history_anchor_mean,bonn_surface_anchor_mean,bonn_surface_distance_mean,bonn_dynamic_shell_mean,bonn_pre_history_anchor_mean,bonn_pre_surface_anchor_mean,bonn_pre_surface_distance_mean,bonn_pre_dynamic_shell_mean
72_local_geometric_conflict_resolution,0.935798295196066,93.12222222222222,4.309430255233573,70.43333333333334,22.097150490842562,234.0,3.0,30.0,201.0,control,442.0,442.0,589.0,154.0,442.0,234.0,61.0,147.0,57.45548188770986,234.0,0.0,0.08886390851971102,111.68245052239993,442.0,0.0,0.15400441809919957,0.24553624738337546,1.0,0.0,0.00037976029281927787,0.2526752274262442,1.0,0.0,0.0003484262852923067
77_hybrid_boost_conflict,0.935798295196066,93.12222222222222,4.30846482567294,70.41111111111111,21.831540638415234,244.0,4.0,29.0,211.0,abandon,442.0,442.0,589.0,154.0,442.0,244.0,61.0,137.0,60.35695544701981,244.0,0.0,0.09386551863927314,111.68245052239993,442.0,0.0,0.15400441809919949,0.24736457150417954,1.0,0.0,0.0003846947485216112,0.2526752274262442,1.0,0.0,0.00034842628529230653
78_conservative_anchoring,0.935798295196066,93.12222222222222,4.30743364372598,70.44444444444444,21.369140527924383,252.0,3.0,32.0,217.0,abandon,442.0,442.0,589.0,154.0,442.0,252.0,61.0,129.0,61.97242889168142,252.0,0.0,0.3704212225348358,111.68245052239992,442.0,0.0,0.6128333667625969,0.24592233687175166,1.0,0.0,0.0014699254862493483,0.25267522742624415,1.0,0.0,0.001386500829779631
79_feature_weighted_topk,0.935798295196066,93.12222222222222,4.312595794209603,70.42222222222222,22.24105215457218,224.0,3.0,29.0,192.0,abandon,442.0,442.0,589.0,154.0,442.0,224.0,61.0,157.0,56.111715683005485,224.0,0.0,0.08763706800943946,111.68245052239996,442.0,0.0,0.1540044180991993,0.25049873072770307,1.0,0.0,0.00039123691075642616,0.25267522742624426,1.0,0.0,0.0003484262852923061
