variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,snapped_points_sum,mean_distance_to_plane_before,mean_distance_to_plane_after,orthogonality_drift_before,orthogonality_drift_after,tb_noise_correlation,decision
99_manhattan_plane_completion,0.935798295196066,93.12222222222222,4.345629355333931,70.07777777777778,28.277506974935523,90.0,39.0,20.0,31.0,0.0,0.21913253503456853,0.21913253503456853,0.5806007904855552,0.5806007904855552,-0.22501758018520482,control
101_manhattan_plane_projection_hard_snapping,0.935798295196066,93.12222222222222,4.346082508750459,70.07777777777778,28.580961690154947,90.0,39.0,19.0,32.0,16.0,0.25111364645896445,0.24723852654041253,0.5696282941323487,0.5696282941323487,-0.25383654128340477,abandon
102_scale_drift_correction,0.935798295196066,93.12222222222222,4.734204013165817,68.66666666666667,29.980844379927465,90.0,38.0,15.0,37.0,90.0,0.039733317114634716,0.3590397945078554,0.5396812429050839,0.5396812429050839,-0.2601529511865082,abandon
103_local_cluster_refinement,0.935798295196066,93.12222222222222,4.346056224070366,70.07777777777778,28.004384690640055,90.0,39.0,22.0,29.0,49.0,0.24762849073865936,0.2475112160900996,0.5775112848981278,0.5775112848981278,-0.4193139346887674,abandon
