variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,bonn_thickness_mean,bonn_normal_consistency_mean,bonn_ray_convergence_mean,bonn_drop_thickness_mean,bonn_drop_normal_consistency_mean,bonn_drop_ray_convergence_mean,bonn_tb_count,bonn_tb_topology_thickness_mean,bonn_tb_normal_consistency_mean,bonn_tb_ray_convergence_mean,bonn_noise_count,bonn_noise_topology_thickness_mean,bonn_noise_normal_consistency_mean,bonn_noise_ray_convergence_mean,bonn_ghost_count,bonn_ghost_topology_thickness_mean,bonn_ghost_normal_consistency_mean,bonn_ghost_ray_convergence_mean,decision
80_ray_penetration_consistency,0.935798295196066,93.12222222222222,4.309778898134553,70.46666666666667,20.849992113219006,248.0,3.0,23.0,222.0,0.092245508982036,0.7146595493157346,0.129375348796546,0.1562962962962964,0.7957096797406064,0.2264367493343474,3.0,0.24500000000000013,0.6230830354843776,0.2392597698928037,222.0,0.11108108108108118,0.7288045473623709,0.161054177339765,23.0,0.11608695652173918,0.8755117466877158,0.15109796808691728,control
86_rear_plane_clustering_snapping,0.935798295196066,93.12222222222222,4.433930283687467,67.02222222222223,29.640816411809,42.0,0.0,5.0,37.0,0.3850000000000003,0.8026674944141502,0.2536145706364309,0.05774271844660198,0.7285854079093326,0.14220994164259823,4.0,0.1837500000000001,0.6882068545233654,0.17944482741960277,221.0,0.11158371040723991,0.7268842277903876,0.16381219993993135,23.0,0.11608695652173918,0.8872342189107757,0.13159932385661258,abandon
87_front_mask_guided_back_projection,0.935798295196066,93.12222222222222,4.439886650323732,67.05555555555556,30.95305926384816,34.0,0.0,3.0,31.0,0.3851470588235297,0.7979442808660416,0.30447703418865363,0.06995327102803743,0.7321052488096794,0.13829364851724818,3.0,0.24500000000000013,0.6230830354843776,0.2392597698928037,219.0,0.11424657534246586,0.7250996981156345,0.16445894867874264,26.0,0.08884615384615388,0.8897902231130727,0.12356811056854948,abandon
88_occlusion_depth_hypothesis_validation,0.935798295196066,93.12222222222222,4.442717361602825,68.75555555555556,34.36250796830861,10.0,0.0,3.0,7.0,0.38550000000000023,0.6913222549019117,0.04698805125727058,0.10172268907563034,0.7432243959903265,0.16587050181736396,4.0,0.1837500000000001,0.6882068545233654,0.17944482741960277,221.0,0.10981900452488699,0.727684141587324,0.16201452645623537,23.0,0.13304347826086962,0.879548090688038,0.14887262124343054,abandon
