variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision,bonn_extract_rear_selected_sum,bonn_extract_score_ready_sum,bonn_extract_support_protected_sum,bonn_extract_fail_score_sum,bonn_rear_selectivity_pre_sum,bonn_rear_selectivity_kept_sum,bonn_rear_selectivity_drop_sum,bonn_rear_selectivity_topk_drop_sum,bonn_rear_selectivity_penetration_sum,bonn_rear_selectivity_penetration_free_span_sum,bonn_rear_selectivity_observation_count_sum,bonn_rear_selectivity_observation_support_sum,bonn_rear_selectivity_static_coherence_sum,bonn_rear_selectivity_pre_penetration_sum,bonn_rear_selectivity_pre_penetration_free_span_sum,bonn_rear_selectivity_pre_observation_count_sum,bonn_rear_selectivity_pre_observation_support_sum,bonn_rear_selectivity_pre_static_coherence_sum,bonn_penetration_mean,bonn_penetration_free_span_mean,bonn_observation_count_mean,bonn_observation_support_mean,bonn_static_coherence_mean,bonn_pre_penetration_mean,bonn_pre_penetration_free_span_mean,bonn_pre_observation_count_mean,bonn_pre_observation_support_mean,bonn_pre_static_coherence_mean,bonn_noise_ratio,bonn_tb_count,bonn_tb_penetration_score_mean,bonn_tb_penetration_free_span_mean,bonn_tb_observation_count_mean,bonn_tb_observation_support_mean,bonn_tb_static_coherence_mean,bonn_noise_count,bonn_noise_penetration_score_mean,bonn_noise_penetration_free_span_mean,bonn_noise_observation_count_mean,bonn_noise_observation_support_mean,bonn_noise_static_coherence_mean,bonn_ghost_count,bonn_ghost_penetration_score_mean,bonn_ghost_penetration_free_span_mean,bonn_ghost_observation_count_mean,bonn_ghost_observation_support_mean,bonn_ghost_static_coherence_mean
72_local_geometric_conflict_resolution,0.935798295196066,93.12222222222222,4.3106879439252745,70.47777777777777,22.638955687246945,234.0,4.0,27.0,203.0,control,442.0,442.0,589.0,154.0,442.0,234.0,62.0,146.0,23.119850561706578,26.16000000000002,288.0,42.90069922179352,192.51796181822266,56.17552792006618,65.40000000000008,571.0,84.40229630048086,366.45785035088386,0.09880278017823324,0.11179487179487188,1.2307692307692308,0.1833363214606561,0.8227263325565071,0.12709395457028547,0.14796380090497754,1.2918552036199096,0.1909554214943006,0.8290901591648956,0.8675213675213675,4.0,0.1555615843840389,0.1837500000000001,1.75,0.24599364498308726,0.75,203.0,0.10465758276441012,0.11770935960591142,1.2266009852216748,0.1828668923267174,0.8005810927006041,27.0,0.046374626777598786,0.05666666666666669,1.1851851851851851,0.17758316664953866,1.0
80_ray_penetration_consistency,0.935798295196066,93.12222222222222,4.317237837295015,70.28888888888889,22.66280115043402,119.0,4.0,15.0,100.0,abandon,442.0,442.0,589.0,154.0,442.0,119.0,301.0,22.0,40.19424173810303,49.23000000000009,132.0,19.958030124135654,105.0,56.513065478188494,70.80000000000017,571.0,84.40229630048086,366.45785035088386,0.33776673729498347,0.41369747899159737,1.1092436974789917,0.1677145388582828,0.8823529411764706,0.12785761420404637,0.1601809954751135,1.2918552036199096,0.1909554214943006,0.8290901591648956,0.8403361344537815,4.0,0.32095674101989946,0.4012500000000002,1.25,0.18600587868859209,1.0,100.0,0.3392068435669205,0.41415000000000063,1.12,0.16911232482740496,0.86,15.0,0.3326486944887589,0.4140000000000003,1.0,0.1535182751093859,1.0
81_unobserved_space_veto,0.935798295196066,93.12222222222222,4.312700805319962,70.45555555555555,22.17896373460672,231.0,4.0,25.0,202.0,abandon,442.0,442.0,589.0,154.0,442.0,231.0,89.0,122.0,24.412463735606487,27.690000000000023,288.0,50.27880174619818,189.53790144449636,56.17552792006617,65.40000000000008,571.0,98.97493963902224,366.4777899771576,0.10568166119310167,0.11987012987012997,1.2467532467532467,0.21765715041644232,0.8205103958636206,0.12709395457028547,0.14796380090497754,1.2918552036199096,0.22392520280321773,0.8291352714415331,0.8744588744588745,4.0,0.15556158438403883,0.1837500000000001,1.75,0.28585170292859263,0.75,202.0,0.11157476472809487,0.12586633663366348,1.2524752475247525,0.21860609722923935,0.7996925814083978,25.0,0.050084596919806684,0.061200000000000025,1.12,0.1990785317670993,1.0
82_static_neighborhood_coherence,0.935798295196066,93.12222222222222,4.324864638615583,68.82222222222222,22.70121031095066,115.0,4.0,18.0,93.0,abandon,442.0,442.0,589.0,154.0,442.0,115.0,315.0,12.0,38.57365419493679,44.085000000000036,127.0,19.214006609381283,115.0,56.17552792006618,65.40000000000008,571.0,84.40229630048086,366.85652354745446,0.3354230799559721,0.38334782608695683,1.1043478260869566,0.16707831834244594,1.0,0.12709395457028547,0.14796380090497754,1.2918552036199096,0.1909554214943006,0.8299921347227477,0.808695652173913,4.0,0.3209567410198995,0.3712500000000002,1.25,0.18600587868859209,1.0,93.0,0.3360143443658683,0.3841935483870971,1.10752688172043,0.16749143793915205,1.0,18.0,0.3355829558239695,0.3816666666666668,1.0555555555555556,0.16073774257143172,1.0
