variant,method_family,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_ratio,bonn_background_recovery,bonn_ghost_reduction_vs_tsdf,bonn_pose_ate_cm,bonn_added_points_sum,bonn_added_tb_sum,bonn_added_ghost_sum,bonn_added_noise_sum,added_tb_noise_corr,papg_applied_ratio,decision
111_native_geometry_chain_direct,baseline,0.935798295196066,93.12222222222222,4.232638465480472,70.85555555555555,0.06286955097274464,0.6666666666666666,14.579900098416498,5.205489190702348,0.0,0.0,0.0,0.0,nan,0.0,reference
113_naive_plane_union,innovation,1.2045543069818077,96.12222222222222,4.412566231237969,76.18888888888888,0.0639238178412355,0.6666666666666666,10.457004876350922,5.20548919070235,3321.0,23.0,255.0,3043.0,-0.9130461816640737,0.0,candidate
114_papg_plane_union,innovation,1.1782412676151737,96.03333333333333,4.303765355635201,77.05555555555556,0.061338809747442456,0.6666666666666666,13.82439576166452,4.500505156945479,3350.0,35.0,224.0,3091.0,-0.9726682302126841,1.0,candidate
115_papg_consensus_activation,innovation,0.9508553090128993,93.21111111111111,4.22470099401049,70.95555555555555,0.06416173579692988,0.6666666666666666,12.368985139168524,5.615658178094573,113.0,5.0,26.0,82.0,0.20267891785152606,1.0,candidate
