variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision,bonn_extract_rear_selected_sum,bonn_extract_score_ready_sum,bonn_extract_support_protected_sum,bonn_extract_fail_score_sum,bonn_rear_selectivity_pre_sum,bonn_rear_selectivity_kept_sum,bonn_rear_selectivity_drop_sum,bonn_rear_selectivity_topk_drop_sum,bonn_rear_selectivity_score_sum,bonn_rear_selectivity_risk_sum
64_patch_depth_hybrid_generation,0.935798295196066,93.12222222222222,4.250850185590789,70.80000000000001,16.484591328740084,442.0,8.0,60.0,374.0,control,442.0,442.0,589.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
65_ghost_risk_prediction_filter,0.935798295196066,93.12222222222222,4.250850185590759,70.80000000000001,16.484591328740084,442.0,8.0,60.0,374.0,abandon,442.0,442.0,589.0,154.0,442.0,442.0,0.0,0.0,356.52605087793904,11.505172995902889
66_geometry_constrained_admission,0.935798295196066,93.12222222222222,4.2489308794424065,70.74444444444444,15.72360896969477,555.0,15.0,84.0,456.0,abandon,555.0,555.0,601.0,46.0,555.0,555.0,0.0,0.0,449.8755890181194,21.2436131075891
67_topk_selective_generation,0.935798295196066,93.12222222222222,4.307468177417534,70.4,22.15657071750488,231.0,3.0,38.0,190.0,abandon,442.0,442.0,589.0,154.0,442.0,231.0,0.0,211.0,179.0588334585613,4.361221592974805
