variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision,target_variant,target_bonn_acc_cm,abs_diff_acc_cm
111_native_geometry_chain_direct,0.935798295196066,93.12222222222222,4.232638465480472,70.85555555555555,14.579900098416498,90.0,39.0,20.0,31.0,match,108_geometry_chain_coupled_direct,4.232638465480493,2.1316282072803006e-14
112_native_geometry_chain_projected,0.935798295196066,93.12222222222222,4.235494025618463,70.82222222222222,14.974646437329026,90.0,31.0,31.0,28.0,match,109_geometry_chain_coupled_projected,4.232541863683049,0.0029521619354140327
