variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,added_support_points_sum,support_seed_points_sum,tb_noise_correlation,decision,bonn_tb_count,bonn_tb_support_score_mean,bonn_tb_neighbor_count_mean,bonn_tb_history_reactivate_mean,bonn_tb_cluster_thickness_mean,bonn_noise_count,bonn_noise_support_score_mean,bonn_noise_neighbor_count_mean,bonn_noise_history_reactivate_mean,bonn_noise_cluster_thickness_mean,bonn_ghost_count,bonn_ghost_support_score_mean,bonn_ghost_neighbor_count_mean,bonn_ghost_history_reactivate_mean,bonn_ghost_cluster_thickness_mean,support_margin_tb_vs_noise
80_ray_penetration_consistency,0.935798295196066,93.12222222222222,4.317114073422194,70.2,23.203208912654603,119.0,4.0,19.0,96.0,0.0,0.0,0.9906836053628413,control,4.0,0.21002032356589662,4.25,0.22969908945901024,0.0,96.0,0.14594663651054857,6.46875,0.20828231200505296,0.0,19.0,0.15996654764106608,8.526315789473685,0.20199140846427138,0.0,0.06407368705534805
92_multi_view_ray_support_aggregation,0.935798295196066,93.12222222222222,4.3165573273657465,70.21111111111111,23.229672179361284,121.0,5.0,19.0,97.0,2.0,38.0,0.9909685668836455,abandon,5.0,0.21891843965375815,4.0,0.2297841116236245,0.0011284118506514743,97.0,0.14692262665268663,6.43298969072165,0.208784933742093,0.0012283628715355573,19.0,0.15996654764106608,8.526315789473685,0.20199140846427138,0.0037542428617665913,0.07199581300107152
93_spatial_neighborhood_density_clustering,0.935798295196066,93.12222222222222,4.318213891270131,70.2,23.591298291656567,128.0,13.0,19.0,96.0,9.0,29.0,0.9906836053628413,abandon,13.0,0.24082149463926344,3.3846153846153846,0.22999339695190577,0.001302013673828624,96.0,0.14594663651054857,6.46875,0.20828231200505296,0.0002762392772580709,19.0,0.15996654764106608,8.526315789473685,0.20199140846427138,0.0021678405651829576,0.09487485812871488
94_historical_tsdf_consistency_reactivation,0.935798295196066,93.12222222222222,4.316623759434504,70.21111111111111,22.4466778106497,123.0,8.0,19.0,96.0,4.0,29.0,0.9906836053628413,abandon,8.0,0.23226561378555044,3.625,0.2299116448705459,0.00123420046165005,96.0,0.14594663651054857,6.46875,0.20828231200505296,0.0002762392772580709,19.0,0.15996654764106608,8.526315789473685,0.20199140846427138,0.0021678405651829576,0.08631897727500187
