variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision
38_bonn_state_protect,0.935798295196066,93.12222222222222,4.2434640421248835,70.83333333333333,15.469948183346332,108.0,1.0,10.0,97.0,control
46_history_background_only_admission,0.935798295196066,93.12222222222222,4.238868185729267,70.85555555555555,13.293119048386767,0.0,0.0,0.0,0.0,abandon
47_history_visible_obstructed_manifold,0.935798295196066,93.12222222222222,4.23886818572926,70.85555555555555,13.293119048386767,0.0,0.0,0.0,0.0,abandon
