variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,decision,bonn_extract_rear_selected_sum,bonn_extract_score_ready_sum,bonn_extract_support_protected_sum,bonn_extract_fail_score_sum,bonn_rear_selectivity_pre_sum,bonn_rear_selectivity_kept_sum,bonn_rear_selectivity_drop_sum,bonn_rear_selectivity_topk_drop_sum,bonn_rear_selectivity_score_sum,bonn_rear_selectivity_risk_sum,bonn_rear_selectivity_front_score_sum,bonn_rear_selectivity_rear_score_sum,bonn_rear_selectivity_gap_sum,bonn_rear_selectivity_competition_sum,bonn_rear_selectivity_occlusion_order_sum,bonn_rear_selectivity_local_conflict_sum,bonn_rear_selectivity_front_residual_sum,bonn_rear_selectivity_pre_front_residual_sum,bonn_rear_selectivity_pre_dyn_risk_sum,bonn_rear_selectivity_dyn_risk_sum,bonn_front_score_mean,bonn_rear_score_mean,bonn_rear_gap_mean,bonn_competition_mean,bonn_occlusion_order_mean,bonn_local_conflict_mean,bonn_front_residual_mean,bonn_front_residual_drop_mean,bonn_dyn_risk_mean,bonn_dyn_risk_drop_mean
68_rear_front_score_competition,0.935798295196066,93.12222222222222,4.316804778954643,70.38888888888889,23.54876102558256,204.0,2.0,24.0,178.0,control,442.0,442.0,589.0,154.0,442.0,204.0,61.0,177.0,170.19527596684014,20.443020981018698,35.19157355904058,84.41289929815822,49.221325739117646,50.98090441706966,6.407995775319225,12.552647653743948,19.140346246968246,40.93389545603847,8.264495411217904,0.0,0.1725077135247087,0.4137887220497952,0.2412810085250865,0.24990639420132185,0.03141174399666287,0.06153258653796053,0.09382522670082473,0.0915695344918917,0.0,0.03472477063536934
71_occlusion_order_consistency,0.935798295196066,93.12222222222222,4.3080858295346705,70.43333333333334,22.49460192979511,244.0,4.0,31.0,209.0,abandon,442.0,442.0,589.0,154.0,442.0,244.0,61.0,137.0,198.2794018328825,67.52162018268558,42.361194282697724,101.01167150653214,58.650477223834415,62.88659665210419,7.8818922326789185,18.732534651294138,23.032263854944173,40.93389545603845,8.264495411217906,0.0,0.17361145197826935,0.4139822602726727,0.24037080829440333,0.25773195349223027,0.0323028370191759,0.07677268299710713,0.09439452399567284,0.09041228081360746,0.0,0.04173987581423185
72_local_geometric_conflict_resolution,0.935798295196066,93.12222222222222,4.395630134226466,68.8111111111111,27.27020091145005,234.0,4.0,24.0,206.0,abandon,442.0,442.0,589.0,154.0,442.0,234.0,62.0,146.0,184.9221288891294,39.12308414260713,40.5052441468239,96.84680479633059,56.341560649506675,60.392085064189075,7.498583772093259,26.098151135503606,22.025258377412968,40.93389545603849,8.264495411217904,0.0,0.1730993339607859,0.41387523417235295,0.240775900211567,0.25808583360764564,0.03204522979527034,0.11153056040813507,0.09412503580091011,0.09090690903185349,0.0,0.039733151015470695
73_front_residual_aware_suppression,0.935798295196066,93.12222222222222,4.3029589554015475,70.52222222222223,21.437063117986266,257.0,4.0,34.0,219.0,abandon,442.0,442.0,589.0,154.0,442.0,257.0,61.0,124.0,200.42382882089296,42.82607930913462,44.59045753579029,106.34764899448803,61.757191458697704,67.10804636299255,8.219792143949157,21.55019739772388,24.246939781250113,40.93389545603847,8.264495411217904,0.0,0.1735037258201957,0.4138040816906149,0.2403003558704191,0.2611208029688426,0.031983627019257416,0.08385290816234973,0.09434606918774363,0.09019976040426139,0.0,0.04467294816874543
