variant,tum_acc_cm,tum_comp_r_5cm,bonn_acc_cm,bonn_comp_r_5cm,bonn_ghost_reduction_vs_tsdf,bonn_rear_points_sum,bonn_rear_true_background_sum,bonn_rear_ghost_sum,bonn_rear_hole_or_noise_sum,completion_added_sum,completion_kept_sum,tb_noise_correlation,decision
97_global_map_anchoring,0.935798295196066,93.12222222222222,4.441238365370354,68.9,34.064337258378195,37.0,10.0,5.0,22.0,0.0,37.0,-0.7857142857142858,control
98_geodesic_support_diffusion,0.935798295196066,93.12222222222222,4.345913026633312,70.07777777777778,28.004384690640055,90.0,40.0,20.0,30.0,49.0,41.0,-0.3273268353539886,iterate
99_manhattan_plane_completion,0.935798295196066,93.12222222222222,4.345629355333982,70.07777777777778,28.277506974935523,90.0,39.0,20.0,31.0,49.0,41.0,-0.22501758018520482,iterate
100_cluster_view_inpainting,0.935798295196066,93.12222222222222,4.344914546953704,70.07777777777778,28.277506974935523,90.0,34.0,24.0,32.0,49.0,41.0,-0.1147078669352809,iterate
