row_type,family,sequence,frames,stride,seed,acc_cm,comp_r_5cm,target_acc_cm,target_comp_r_5cm,acc_gap_cm,comp_r_gap_pts,temporal_drift_cm,rpe_trans_cm,completion_artifact_delta_cm,completion_comp_r_delta_pts,rear_surface_points,stable_depth_bias_cm,sensor_noise_floor_cm,stable_depth_samples,stable_depth_multiview_points,surface_thickness_cm,surface_thickness_median_cm,surface_plane_count,surface_plane_coverage,reference_points_count,reconstructed_ratio,missing_reference_points,missing_never_in_view_ratio,missing_observed_any_ratio,missing_observed_once_ratio,missing_observed_twice_or_less_ratio,missing_high_occlusion_ratio,missing_depth_hole_ratio,rear_to_missing_ratio,sensor_noise_floor_cm_share,calibration_bias_cm_share,temporal_drift_cm_share,surface_thickness_cm_share,completion_artifact_positive_cm_share,primary_contributor
sequence,tum,rgbd_dataset_freiburg3_walking_xyz,5.0,3.0,7.0,0.9412647506612332,91.93333333333334,2.55,98.0,0.0,6.066666666666663,1.1102230246251565e-14,7.85103126840403e-15,0.0,0.0,4.0,0.017673666659523118,1.340207202269835,11235.0,2719.0,1.68085576759186,1.3741363301802423,6.0,0.7424936386768448,3000.0,0.9193333333333333,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44104092015164403,0.005816123203015077,3.653567773139264e-15,0.5531429566453371,0.0,surface_thickness_cm
sequence,tum,rgbd_dataset_freiburg3_walking_static,5.0,3.0,7.0,0.9358886042046451,93.46666666666667,2.55,98.0,0.0,4.533333333333331,2.220446049250313e-14,1.5701421748233917e-14,0.0,0.0,2.0,0.025368093972055483,1.024495454437966,13756.0,2930.0,1.6851846852655405,1.409601775923975,6.0,0.8209028459273798,3000.0,0.9346666666666666,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37458039745835275,0.009275190711340302,8.11848954585453e-15,0.6161444118302988,0.0,surface_thickness_cm
sequence,tum,rgbd_dataset_freiburg3_walking_halfsphere,5.0,3.0,7.0,0.9302415307223197,93.96666666666667,2.55,98.0,0.0,4.033333333333331,0.0,1.8399521000200487e-16,0.0,0.0,2.0,0.037044167419319506,1.3583201470652388,10536.0,2618.0,1.793312896415485,1.60456048946237,6.0,0.8326673326673326,3000.0,0.9396666666666667,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4259823297328475,0.011617409028637091,0.0,0.5624002612385154,0.0,surface_thickness_cm
sequence,bonn,rgbd_bonn_balloon2,5.0,3.0,7.0,2.8860418826106535,83.56666666666666,3.1,98.0,0.0,14.433333333333337,3.4316642416017666,1.735162769009015,-0.0009142053186650401,0.0,21.0,0.0039275913435853575,1.5265223121985017,7856.0,2156.0,1.7246818503515924,1.4732942645094838,6.0,0.6806264896152536,3000.0,0.8356666666666667,493.0,0.0,1.0,0.5253549695740365,0.7505070993914807,0.3935091277890467,0.2210953346855984,0.04259634888438134,0.22828905102336636,0.0005873652114153289,0.5132000802646745,0.2579235035005439,0.0,temporal_drift_cm
sequence,bonn,rgbd_bonn_balloon,5.0,3.0,7.0,4.153552928256478,70.23333333333333,3.1,98.0,1.0535529282564782,27.766666666666666,1.5050388281131506,0.7314848873443189,-0.001961913090130274,0.0,6.0,0.014804279979809319,1.6660614457953637,7609.0,2213.0,1.9098349310257425,1.683514880090664,6.0,0.5978371071307874,3000.0,0.7023333333333334,893.0,0.0,1.0,0.5117581187010078,0.761478163493841,0.1601343784994401,0.2127659574468085,0.006718924972004479,0.3269518488391602,0.00290522700849158,0.2953523885137412,0.37479053563860704,0.0,surface_thickness_cm
sequence,bonn,rgbd_bonn_crowd2,5.0,3.0,7.0,5.658320585574284,58.766666666666666,3.1,98.0,2.558320585574284,39.233333333333334,10.679764502392128,4.7892351066009535,-0.012626730360296712,0.0,63.0,0.012697716407636351,1.5397141123268432,7578.0,2224.0,1.9449504645138092,1.7158374927061404,6.0,0.6374956762365963,3000.0,0.5876666666666667,1237.0,0.0,1.0,0.4195634599838319,0.7235246564268392,0.2918350848827809,0.24737267582861763,0.05092966855295069,0.10860551185874404,0.0008956480809313918,0.7533095144268755,0.13718932563344904,0.0,temporal_drift_cm
family,tum,tum_all3,5.0,3.0,7.0,0.935798295196066,93.12222222222222,2.55,98.0,0.0,4.87777777777778,1.1102230246251565e-14,7.912149408879984e-15,0.0,0.0,8.0,0.02669530935029937,1.24100760125768,35527.0,8267.0,1.7197844497576285,1.4627661985221958,6.0,0.798687939090519,9000.0,0.9312222222222222,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012924071082390954,0.41540179139228267,0.008935706207316742,3.716243420321228e-15,0.5756625024003968,0.0,surface_thickness_cm
family,bonn,bonn_all3,5.0,3.0,7.0,4.232638465480472,70.85555555555555,3.1,98.0,1.1326384654804715,27.144444444444446,5.205489190702348,2.418627587651429,-0.005167616256364009,0.0,90.0,0.01047652924367701,1.5774326234402363,23043.0,6593.0,1.859822415297048,1.6242155457687628,6.0,0.6386530909942124,9000.0,0.7085555555555556,2623.0,0.0,1.0,0.4708349218452154,0.7415173465497522,0.2661075104841784,0.23065192527640108,0.03431185665268776,0.1822942771750413,0.0012107086524013675,0.6015666693212188,0.21492834485133858,0.0,temporal_drift_cm
